WoCID,lat_or,long_or,species,pathway_as_classified,continent
WC6357,52.11415763,4.74494249,Procambarus clarkii,intercontinental,Europe
WC6358,52.11461639,4.60239506,Procambarus clarkii,intercontinental,Europe
WC6359,52.11501403,4.70103988,Procambarus clarkii,intercontinental,Europe
WC6360,52.11570444,4.74977822,Procambarus clarkii,intercontinental,Europe
WC6361,52.11629395,5.00314156,Procambarus clarkii,intercontinental,Europe
WC6362,52.11634377,4.91141886,Procambarus clarkii,intercontinental,Europe
WC6368,52.11690747,4.67688704,Procambarus clarkii,intercontinental,Europe
WC6375,52.11711309,4.61216938,Procambarus clarkii,intercontinental,Europe
WC6380,52.11764145,4.61779594,Procambarus clarkii,intercontinental,Europe
WC6381,52.1181526,4.7508114,Procambarus clarkii,intercontinental,Europe
WC6386,52.11896515,4.92071247,Procambarus clarkii,intercontinental,Europe
WC6389,52.11916668,4.78337282,Procambarus clarkii,intercontinental,Europe
WC6401,52.12030678,4.75349361,Procambarus clarkii,intercontinental,Europe
WC6411,52.12041694,4.75319984,Procambarus clarkii,intercontinental,Europe
WC6428,52.12137222,4.56264591,Procambarus clarkii,intercontinental,Europe
WC6433,52.12255581,4.75498514,Procambarus clarkii,intercontinental,Europe
WC6442,52.1241684,4.718795776,Procambarus clarkii,intercontinental,Europe
WC6444,52.1242218,4.562449932,Procambarus clarkii,intercontinental,Europe
WC6460,52.1266024,4.94110743,Procambarus clarkii,intercontinental,Europe
WC6489,52.12896612,4.80849365,Procambarus clarkii,intercontinental,Europe
WC6497,52.13055195,4.75995727,Procambarus clarkii,intercontinental,Europe
WC6505,52.1328392,4.703752041,Procambarus clarkii,intercontinental,Europe
WC6507,52.13502452,4.7927785,Procambarus clarkii,intercontinental,Europe
WC6508,52.13555527,4.76767588,Procambarus clarkii,intercontinental,Europe
WC6509,52.13771313,4.75769558,Procambarus clarkii,intercontinental,Europe
WC6510,52.13895035,4.84833241,Procambarus clarkii,intercontinental,Europe
WC6512,52.14066696,4.589131355,Procambarus clarkii,intercontinental,Europe
WC6513,52.14101606,4.80071355,Procambarus clarkii,intercontinental,Europe
WC6514,52.1412052,4.66450186,Procambarus clarkii,intercontinental,Europe
WC6516,52.14463542,4.58688284,Procambarus clarkii,intercontinental,Europe
WC6517,52.14550018,4.82412052,Procambarus clarkii,intercontinental,Europe
WC6518,52.14621478,4.7739476,Procambarus clarkii,intercontinental,Europe
WC6519,52.14653884,4.81221325,Procambarus clarkii,intercontinental,Europe
WC6523,52.14711283,5.0877078,Procambarus clarkii,intercontinental,Europe
WC6524,52.14855194,4.825549126,Procambarus clarkii,intercontinental,Europe
WC6527,52.15245814,4.84693641,Procambarus clarkii,intercontinental,Europe
WC6528,52.15290541,4.82206859,Procambarus clarkii,intercontinental,Europe
WC6531,52.15480522,5.09898604,Procambarus clarkii,intercontinental,Europe
WC6533,52.15492457,4.61004587,Procambarus clarkii,intercontinental,Europe
